BSC,CELL,THRAV,THRVP,THRDV,RULES_APPLIED,MaxTi,MaxCong,MaxTch,VAMOS,ENM,DATA_OF
CBEB4,CB4WJ4C,8,8,22,Default,0.17,0.0,14.0,PLANNED,NA,2025-12-10 14:54:56
CBEB4,CGRZN17B,3,3,10,Default,0.24,0.0,36.02,PLANNED,NA,2025-12-10 14:54:56
CBEB4,CGRZN17C,3,3,10,Default,0.29,0.0,36.01,PLANNED,NA,2025-12-10 14:54:56
CBEB4,CGRZN21A,4,4,11,Default,0.39,0.0,29.0,PLANNED,NA,2025-12-10 14:54:56
CBEB4,CGRZN21B,5,5,15,Default,0.4,0.0,21.01,PLANNED,NA,2025-12-10 14:54:56
CBEB4,CGRZN21C,3,3,10,Default,0.42,0.0,36.87,PLANNED,NA,2025-12-10 14:54:56
CBEB4,CGRZN25A,5,5,15,Default,0.43,0.0,21.03,PLANNED,NA,2025-12-10 14:54:56
CBEB5,CB5176B,5,5,14,Default,0.28,0.0,21.44,PLANNED,NA,2025-12-10 14:54:56
CBEB5,CB5176C,4,4,11,Default,0.43,0.0,29.11,PLANNED,NA,2025-12-10 14:54:56
CBEB5,CB5218A,4,4,11,Default,0.65,0.0,29.03,PLANNED,NA,2025-12-10 14:54:56
CBEB5,CB5218B,25,25,50,Ti: 1.1-1.3,1.29,0.0,28.93,PLANNED,NA,2025-12-10 14:54:56
