LINK_ID,LINK_CODE,COST_CODE,VENDOR,CONTRACT,LINK_TYPE,BUCKET,LINK_CAPACITY,UNIT_COST_PER_MBPS_MONTHLY,PO_STATUS,SITECODE,OLD_SITECODE,SITE_NAME,PHASE,ORIGIN,HO_SITECODE,HO_SITE_NAME,REGION,INTERNAL_REMARKS,CEP_EXECUTION_DATE,POP_STATUS,LOCK_IN_CEP_POP_REMARKS,EXPIRE_DATE,TERMINATION_DATE,TERMINATION_STATUS,CLUSTER_NAME_CEP,PAT_DATE,PAT_STATUS,LAST_INVOICE,LOCK_IN_STATUS,FIBER_MASTER_PLAN,EFFECTIVE_START_TIME,EFFECTIVE_END_TIME,IS_CURRENT,USER
101185,SCL02373,SCL*Robi-LP-001091-3*LM*1,SCL,Robi-LP-001091-3,LM,1,250,86,Yes,CGKTL44,,Hazi M Rahman Market,Phase#2,Robi,CGDMG29,Akhteruzzaman,Chittagong Metro, ,,, ,1/31/2025,1/1/1970,, ,10/22/2014,Completed,1-May,Lock in expired,NA,5/25/2025,1/1/1970,1,abc
101186,SCL02375,SCL*Robi-LP-001091-3*LM*1,SCL,Robi-LP-001091-3,LM,1,325,86,Yes,CGKTL49,,Kotwali Mor,Phase#2,Robi,CGDMG29,Akhteruzzaman,Chittagong Metro, ,,, ,1/31/2025,1/1/1970,, ,9/29/2014,Completed,1-May,Lock in expired,Ring,5/25/2025,1/1/1970,1,abc
101187,SCL02376,SCL*Robi-LP-001091-3*LM*1,SCL,Robi-LP-001091-3,LM,1,290,86,Yes,CGKTL53,CGKTL92  (Also running from here),CTG Bar Council,Phase#2,Robi,CGDMG29,Akhteruzzaman,Chittagong Metro, ,,, ,1/31/2025,1/1/1970,, ,10/14/2014,Completed,1-May,Lock in expired,Spur,5/25/2025,1/1/1970,1,abc
101188,SCL02377,SCL*Robi-LP-001091-3*LM*1,SCL,Robi-LP-001091-3,LM,1,180,86,Yes,CGKTL2A,CGKTL62,Goalpara,Phase#2,Robi,CGDMG29,Akhteruzzaman,Chittagong Metro,Minimum Slab ,,, , ,1/1/1970,, ,10/29/2014,Completed,1-May,Lock in expired,NA,5/25/2025,1/1/1970,1,abc
101189,SCL02378,SCL*Robi-LP-001091-3*LM*1,SCL,Robi-LP-001091-3,LM,1,310,86,Yes,CGKTL65,,Anderkilla_Morh_LH,Phase#2,Robi,CGCDG41,Bahaddarhat,Chittagong Metro, ,,, ,1/31/2025,1/1/1970,, ,9/24/2014,Completed,1-May,Lock in expired,Spur,5/25/2025,1/1/1970,1,abc
101190,SCL02379,SCL*Robi-LP-001091-3*LM*1,SCL,Robi-LP-001091-3,LM,1,180,86,Yes,CGKTL66,,Khatunganj2,Phase#2,Robi,CGDMG29,Akhteruzzaman,Chittagong Metro,Minimum Slab ,,, ,2/14/2025,1/1/1970,, ,11/11/2014,Completed,1-May,Lock in expired,Spur,5/25/2025,1/1/1970,1,abc
101191,SCL02380,SCL*Robi-LP-001091-3*LM*1,SCL,Robi-LP-001091-3,LM,1,240,86,Yes,CGKTL9R,CGKTL88,Darogarhat 3,Phase#2,Robi,CGDMG29,Akhteruzzaman,Chittagong Metro, ,,, ,2/14/2025,1/1/1970,, ,9/9/2014,Completed,1-May,Lock in expired,Spur,5/25/2025,1/1/1970,1,abc
101192,SCL02381,SCL*Robi-LP-001091-3*LM*1,SCL,Robi-LP-001091-3,LM,1,270,86,Yes,CGKTL91,,Jalsha Market,Phase#2,Robi,CGDMG29,Akhteruzzaman,Chittagong Metro, ,,, , ,1/1/1970,, ,12/22/2014,Completed,1-May,Lock in expired,NA,5/25/2025,1/1/1970,1,abc
101193,SCL02382,SCL*Robi-LP-001091-3*LM*1,SCL,Robi-LP-001091-3,LM,1,250,86,Yes,CGKTL94,,Riazuddin Bazar2,Phase#2,Robi,CGDMG29,Akhteruzzaman,Chittagong Metro, ,,, ,2/14/2025,1/1/1970,, ,1/6/2015,Completed,1-May,Lock in expired,Spur,5/25/2025,1/1/1970,1,abc
101194,SCL02384,SCL*Robi-LP-001091-3*LM*1,SCL,Robi-LP-001091-3,LM,1,180,86,Yes,CGKTLA2,,Hotel Penninsula_IBS,Phase#1,Robi,CGCDG41,Bahaddarhat,Chittagong Metro,Minimum Slab ,,, , ,1/1/1970,, ,8/17/2015,Completed,1-May,Lock in expired,NA,5/25/2025,1/1/1970,1,abc
