BSC,CELL,THRAV_P,THRVP_P,THRDV_P,THRAV_C,THRVP_C,THRDV_C,RULES_APPLIED,MaxTi,MaxCong,MaxTch,DATA_OF,ENM,COMMAND,EXECUTION,LOG,EXECUTION_TIME
CBEC6,CC6T88A,10,10,20,3,3,9,Cong: >0-2,0.46,0.19,36.74,2025-12-10 14:54:56,CTG,"RFVCP:CELL=CC6T88A;*RFVCC:CELL=CC6T88A,THRAV=10,THRVP=10,THRDV=20;",NA,NA,2025-12-10 17:52:49
CBEC6,CC6T88B,10,10,20,4,4,10,Cong: >0-2,0.37,0.23,36.84,2025-12-10 14:54:56,CTG,"RFVCP:CELL=CC6T88B;*RFVCC:CELL=CC6T88B,THRAV=10,THRVP=10,THRDV=20;",NA,NA,2025-12-10 17:52:49
DBE04,D04WL6C,5,5,14,5,5,15,Default,0.21,0.0,21.55,2025-12-10 14:54:56,DHK,"RFVCP:CELL=D04WL6C;*RFVCC:CELL=D04WL6C,THRAV=5,THRVP=5,THRDV=14;",NA,NA,2025-12-10 17:52:49
DBE04,D04Q14B,40,40,80,3,3,8,Ti: 1.3-1.5,1.35,0.0,43.2,2025-12-10 14:54:56,DHK,"RFVCP:CELL=D04Q14B;*RFVCC:CELL=D04Q14B,THRAV=40,THRVP=40,THRDV=80;",NA,NA,2025-12-10 17:52:49
