bsc,cell,max_intensity,max_congestion,max_avail_tch_mean
CBEB5,CB5M42B,0.16,0.0,14.0
CBEB5,CB5M42C,0.19,0.0,29.33
CBEB5,CB5M45A,0.37,0.0,12.68
CBEB5,CB5M45B,0.36,0.0,28.11
CBEB5,CB5M45C,0.34,0.0,21.39
CBEB5,CB5M46A,1.11,0.0,36.12
CBEB6,CB6070A,0.61,0.0,21.24
CBEB6,CB6070B,0.37,0.0,29.06
CBEB6,CB6070C,1.53,0.0,28.1
CBEB6,CB6086A,0.53,0.0,43.17
CBEB6,CB6888A,0.46,0.0,36.72
CBEB6,CB6888B,0.73,0.0,42.99
CBEB6,CB6888C,0.7,0.0,36.14
CBEB6,CB6903A,0.55,0.0,21.0
CBEB6,CB6903B,0.37,0.0,37.0
CBEB6,CB6903C,0.33,0.0,37.01
CBEB6,CB6XV7C,0.44,0.0,21.07
CBEB6,CB6YD0A,0.34,0.0,21.22
CBEB6,CB6YD0B,0.66,0.0,36.95
CBEB6,CB6YD0C,0.44,0.0,28.0
CBEB6,CB6YE1A,0.42,0.0,13.01
CBEB6,CB6YE1B,0.43,0.0,29.06
CBEB3,CGSKD24C,0.49,0.0,52.11
CBEB3,CGSKD27A,0.4,0.0,29.03
CBEB3,CGSKD27B,0.67,0.0,44.26
CBEB3,CGSKD27C,0.37,0.0,44.93
CBEB4,CB4WE7B,0.33,0.0,21.18
CBEB4,CB4WE7C,0.46,0.0,21.04
CBEB4,CB4WE8A,0.34,0.0,29.09
CBEB4,CB4WE8B,0.2,0.0,37.14
CBEB4,CB4WE8C,0.51,0.0,21.08
CBEB4,CB4WI4A,0.51,0.0,13.03
CBEB4,CB4WI4B,0.46,0.0,21.0
CBEB4,CB4WI4C,0.3,0.0,21.2
CBEB4,CGHTZ12B,0.41,0.0,28.93
CBEB4,CGHTZ12C,0.23,0.0,21.39
CBEB5,CB5169C,0.31,0.0,21.36
CBEB5,CB5171A,0.32,0.0,29.04
CBEB5,CB5171B,0.27,0.0,21.29
CBEB5,CB5171C,0.28,0.0,37.01
CBEB5,CB5174A,0.3,0.0,21.79
CBEB5,CB5174B,0.53,0.0,21.2
CBEB5,CB5174C,0.39,0.0,21.0
CBEB5,CB5176A,0.32,0.0,21.47
CBEB5,CB5B10C,0.55,0.0,36.56
CBEB5,CB5B18A,0.34,0.0,21.21
CBEB5,CB5M46B,0.65,0.0,29.04
CBEB5,CB5M46C,0.44,0.0,29.0
CBEB5,CB5PA6A,0.46,0.0,20.17
CBEB5,CB5PA6B,0.39,0.0,21.35
CBEB5,CB5PA6C,0.32,0.0,21.46
CBEB5,CB5Q96L,0.3,0.0,14.0
CBEB5,CB5R17A,0.41,0.0,29.0
CBEB5,CB5R17B,0.46,0.0,43.73
CBEB5,CB5R17C,0.67,0.0,43.44
CBEB5,CB5R18A,0.35,0.0,43.52
